kausi;lohko;nimi;O;M;S;P;J;VM;YV;AV;RL-;RL+;SR;TV;H;TM;IM
2021-2022;Karsinta;Kaj-Kristian Engblom;1;;1;1;;;;;;;;;;;
2021-2022;Karsinta;Akseli Nykänen;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Mika Aaltonen;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Veikka Saarinen;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Jarno Peltola;1;;1;1;;;;;;;;;;;
2021-2022;Karsinta;Miika Oja-Nisula;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Joni Vainio;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Jasse Santavuori;1;1;;1;;;;;;;;;;;
2021-2022;Karsinta;Mauri Kurri;1;1;;1;;;;;;;;;;;
2021-2022;Karsinta;Pedar Järvensivu;;;;;;;;;;;;;;;
2021-2022;Karsinta;Rami Takala;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Mikko Hongisto;;;;;;;;;;;;;;;
2021-2022;Karsinta;Jesse Höykinpuro;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Petri Vikman;;;;;;;;;;;;;;;
2021-2022;Karsinta;Juha-Pekka Kiilunen;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Ville Koivisto;1;;;;;;;;;;;;;;
2021-2022;Karsinta;Lassi Liukkonen;1;;;;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Jani Ruuskanen;2;2;1;3;2;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Mika Aaltonen;2;1;1;2;2;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Ville Koivisto;2;0;2;2;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Kaj-Kristian Engblom;2;1;0;1;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Miika Oja-Nisula;2;1;0;1;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Veikka Saarinen;2;0;1;1;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Rami Takala;2;0;0;0;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Jarno Peltola;2;0;0;0;2;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Sami Pöllänen;2;0;0;0;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Juha-Pekka Kiilunen;2;0;0;0;2;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Joni Vainio;2;0;0;0;;;;;;;;;;;
2020-2021;III-DIV - LR LOHKO 6;Jesse Höykinpuro;2;0;0;0;2;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Kaj Engblom;16;12;33;45;2;;;;;1;;1;;;
2019-2020;IV-DIV - LR LOHKO 9;Ville Koivisto;16;13;15;28;;;1;;;;;1;;1;
2019-2020;IV-DIV - LR LOHKO 9;Mika Aaltonen;16;23;4;27;2;4;4;;;;;2;;;
2019-2020;IV-DIV - LR LOHKO 9;Rami Takala;15;19;7;26;;5;1;;;1;;2;;;
2019-2020;IV-DIV - LR LOHKO 9;Jarno Peltola;14;14;6;20;;1;1;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Sami Pöllänen;14;6;4;10;;2;;;;;;1;;;
2019-2020;IV-DIV - LR LOHKO 9;Ville Rinnola;10;1;6;7;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Miika Oja-Nisula;14;3;3;6;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Mauri Kurri;16;2;3;5;2;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Joni Vainio;6;2;1;3;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Vesa Kurppa;14;0;2;2;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Pessi Aro;6;1;0;1;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Tuukka Mettälä;6;0;1;1;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Jussi Uusi-Mikkola;6;0;1;1;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Jesse Hyökinpuro;2;0;0;0;;;;;;;;;;;
2019-2020;IV-DIV - LR LOHKO 9;Matias Mäkilä;3;0;0;0;;;;;;;;;;;
2019-2020;Suomen Cup;Kaj Engblom;3;4;3;7;-;-;1;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Ville Koivisto;3;1;6;7;-;-;-;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Mika Aaltonen;3;2;2;4;-;-;-;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Rami Takala;3;5;;5;-;1;-;-;;1;-;-;1;-;
2019-2020;Suomen Cup;Sami Pöllänen;3;1;1;2;-;-;-;1;-;-;-;-;-;-;
2019-2020;Suomen Cup;Mauri Kurri;3;;;0;-;-;-;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Vesa Kurppa;3;3;1;4;-;-;-;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Pessi Aro;3;;1;1;5;-;-;-;-;-;-;-;-;-;
2019-2020;Suomen Cup;Matias Mäkilä;3;3;2;5;-;-;-;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Joni Vainio;15;7;2;9;2;1;1;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Ville Koivisto;21;23;14;37;8;1;2;-;-;-;-;-;3;-;
2018-2019;IV-DIV - LR LOHKO 10;Matias Mäkilä;16;4;2;6;4;-;-;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Mauri Kurri;19;6;7;13;2;1;1;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Miika Oja-Nisula;21;16;15;31;4;-;1;-;-;-;-;-;1;-;
2018-2019;IV-DIV - LR LOHKO 10;Mika Aaltonen;18;14;10;24;0;2;2;-;-;-;-;1;1;-;
2018-2019;IV-DIV - LR LOHKO 10;Jarno Peltola;21;15;18;33;8;4;1;-;-;-;-;-;1;-;
2018-2019;IV-DIV - LR LOHKO 10;Rami Takala;15;8;4;12;2;1;1;-;-;-;-;-;-;1;
2018-2019;IV-DIV - LR LOHKO 10;Tuukka Mettälä;18;1;2;3;2;1;-;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Sami Pöllänen;19;10;6;16;4;1;-;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Kaj Engblom;21;13;31;44;5;3;-;-;1;-;-;-;2;-;
2018-2019;IV-DIV - LR LOHKO 10;Jesse Höykinpuro;14;7;3;10;4;3;-;-;-;-;-;-;-;-;
2018-2019;IV-DIV - LR LOHKO 10;Jussi Uusi-Mikkola;12;1;1;2;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Joni Vainio;3;3;0;3;0;-;-;-;-;-;-;-;1;-;
2018-2019;KARSINNAT M3D;Ville Koivisto;3;2;1;3;0;1;1;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Matias Mäkilä;3;0;0;0;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Mauri Kurri;3;0;0;0;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Miika Oja-Nisula;3;2;0;2;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Mika Aaltonen;3;3;2;5;0;-;2;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Jarno Peltola;3;0;1;1;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Rami Takala;3;0;0;0;4;-;-;-;-;-;-;-;-;;
2018-2019;KARSINNAT M3D;Tuukka Mettälä;3;0;1;1;2;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Sami Pöllänen;3;2;0;2;0;-;1;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Kaj Engblom;3;0;6;6;16;-;-;-;;-;-;-;;-;
2018-2019;KARSINNAT M3D;Jesse Höykinpuro;3;0;0;0;0;-;-;-;-;-;-;-;-;-;
2018-2019;KARSINNAT M3D;Jussi Uusi-Mikkola;3;0;1;1;0;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Joni Vainio;17;7;2;9;1;-;1;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Ville Koivisto;17;7;9;16;3;-;-;-;-;-;1;-;1;1;
2017-2018;IV-DIV;Matias Mäkilä;17;5;3;8;2;1;1;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Mauri Kurri;17;3;4;7;1;-;1;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Miika Oja-Nisula;17;0;1;1;0;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Mika Aaltonen;17;12;8;20;1;2;-;-;-;-;-;-;1;-;
2017-2018;IV-DIV;Jarno Peltola;17;4;4;8;4;-;-;-;-;-;-;-;-;-;
